,Hokkaido,Osaka,Tokushima,Nagasaki,Niigata,Hyogo,Ishikawa,Nagano,Tottori,Gunma,Oita,Saitama,Toyama,Akita,Wakayama,Kochi,Miyagi,Tokyo,Kanagawa,Fukuoka,Yamanashi,Aichi,Iwate,Unknown,Okayama,Nara,Mie,Kagawa,Miyazaki,Aomori,Shizuoka,Yamagata,Kumamoto,Hiroshima,Yamaguchi,Tochigi,Kagoshima,Chiba,Saga,Gifu,Okinawa,Shimane,Fukui,Ehime,Kyoto,Shiga,Fukushima,Ibaraki
2019-07-04 13:00:00,3,8,0,0,2,3,0,4,0,1,0,4,2,0,1,1,3,33,14,7,2,4,0,2,2,0,2,1,1,0,6,0,0,0,0,0,6,8,1,1,0,0,0,1,3,1,3,6
2019-07-04 14:00:00,2,4,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,22,5,1,3,4,1,1,0,0,1,1,1,0,5,0,0,1,0,3,2,14,0,3,1,0,0,1,3,2,1,3
2019-07-04 15:00:00,7,3,0,0,1,1,1,0,0,0,0,3,0,0,1,1,0,16,8,1,2,1,1,0,0,0,1,0,1,1,4,1,3,0,0,2,0,10,0,0,1,0,0,0,0,0,1,1
2019-07-04 16:00:00,3,2,0,1,0,3,0,4,0,1,0,3,0,1,1,0,3,22,8,1,0,2,0,0,2,0,1,0,0,4,4,0,1,0,1,0,0,9,0,0,1,0,0,0,2,1,1,2
2019-07-04 17:00:00,6,2,0,2,1,2,0,3,0,0,0,5,0,0,0,0,1,22,9,2,0,5,1,0,0,0,1,0,2,0,5,1,2,1,0,0,2,4,0,0,1,0,0,4,1,0,3,1
2019-07-04 18:00:00,2,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,25,8,1,0,2,0,0,0,0,0,0,3,2,6,2,0,0,1,1,4,9,0,1,1,0,0,0,0,0,2,4
2019-07-04 19:00:00,3,3,0,0,0,3,1,1,0,2,0,4,0,0,0,0,0,12,13,4,2,2,1,1,1,0,0,0,2,1,3,0,1,0,1,2,4,8,0,0,1,1,0,0,0,1,2,0
2019-07-04 20:00:00,1,4,0,0,0,2,0,1,0,2,1,4,0,0,0,1,1,13,2,6,2,3,1,0,0,0,1,0,2,0,6,0,1,2,0,1,3,4,1,1,2,0,0,0,0,1,0,1
2019-07-04 21:00:00,2,3,0,0,2,1,0,2,1,2,0,6,0,0,0,1,1,20,4,0,0,3,0,0,0,1,0,0,1,0,5,1,1,0,0,2,2,3,0,1,0,0,1,1,1,0,0,3
2019-07-04 22:00:00,1,1,0,0,0,1,0,0,0,2,0,4,0,0,0,2,0,12,4,1,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,1,2,5,1,0,0,0,2,0,1,0,0,4
2019-07-04 23:00:00,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,2,2,0,1,0,0,1,1,0,0,1,0,3,0,0,0,0,0,1,2,0,1,4,0,0,0,2,0,0,1
2019-07-05 00:00:00,0,0,0,3,0,1,0,2,0,0,0,1,0,0,0,0,1,7,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1
2019-07-05 01:00:00,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0
